Фамилия,Имя,Отчество,Номер комнаты,Статус,Дата заселения,Дата выселения,Оплата,Путешествую с животными,Дата рождения,Пол
Некрасова,Татьяна,Петровна,44,Свободен,07.01.2023,15.01.2023,карта,да,19.11.1967,мужчина
Куликова,Анастасия,Романовна,164,Зарезервировал,17.05.2023,27.05.2023,карта,нет,01.11.1965,женщина
Степанов,Роман,Сергеевич,175,Свободен,22.02.2023,25.02.2023,карта,нет,24.05.1995,мужчина
Тимофеева,София,Вадимовна,21,Занят,26.02.2023,28.02.2023,карта,нет,11.12.1985,мужчина
Степанова,Вероника,Кирилловна,162,Зарезервировал,28.05.2023,09.06.2023,карта,нет,03.09.1958,женщина
Еремина,Диана,Андреевна,124,Свободен,28.12.2022,01.01.2023,наличные,нет,28.08.2003,женщина
Литвинов,Никита,Александрович,196,Свободен,24.12.2022,28.12.2022,наличные,нет,08.10.1953,мужчина
Матвеев,Елисей,Артёмович,108,Зарезервировал,13.05.2023,17.05.2023,карта,нет,19.08.1999,мужчина
Сорокина,София,Дамировна,139,Свободен,16.02.2023,21.02.2023,карта,нет,14.11.1983,мужчина
Павлов,Вячеслав,Даниилович,177,Свободен,05.02.2023,06.02.2023,карта,нет,15.02.1981,мужчина
Иванова,Алиса,Георгиевна,133,Зарезервировал,18.03.2023,30.03.2023,наличные,нет,19.03.1956,мужчина
Хохлова,Алёна,Егоровна,51,Свободен,25.01.2023,28.01.2023,наличные,нет,06.11.1969,мужчина
Терентьев,Илья,Андреевич,186,Зарезервировал,04.05.2023,14.05.2023,карта,да,29.04.1975,мужчина
Хохлова,Анастасия,Ивановна,23,Свободен,12.12.2022,18.12.2022,карта,нет,27.04.1977,женщина
Грачева,Таисия,Демьяновна,176,Зарезервировал,07.05.2023,20.05.2023,наличные,да,26.07.1996,женщина
Морозова,Анастасия,Андреевна,76,Зарезервировал,11.05.2023,12.05.2023,карта,нет,22.11.1972,женщина
Архипов,Матвей,Артёмович,72,Зарезервировал,10.05.2023,14.05.2023,наличные,да,29.06.1967,мужчина
Головин,Филипп,Тимофеевич,97,Зарезервировал,30.03.2023,04.04.2023,карта,нет,10.11.2002,мужчина
Ситникова,Анастасия,Александровна,92,Зарезервировал,04.05.2023,11.05.2023,карта,нет,25.12.1976,женщина
Федоров,Артур,Александрович,59,Зарезервировал,20.04.2023,21.04.2023,карта,нет,10.12.1995,женщина
